Date,Close,High,Low,Open,Last_Close,Delta,Delta_Pct,Count,Value,,,,,,,
5/15/2018,3192.1183,3192.8069,3164.5181,3180.4245,3174.032,18.0863,0.5698,124549051,1.63E+11,,,,,5/7/2018,3136.8363,3091.6579
5/14/2018,3174.032,3183.8159,3163.476,3167.0418,3163.2632,10.7688,0.3404,129327353,1.72E+11,,,,,5/8/2018,3169.7014,3134.0621
5/11/2018,3163.2632,3180.7564,3162.2121,3179.7967,3174.4127,-11.1495,-0.3512,130659749,1.67E+11,,,,,5/9/2018,3165.3733,3145.6574
5/10/2018,3174.4127,3176.1376,3155.5331,3169.0498,3159.1502,15.2625,0.4831,133000756,1.65E+11,,,,,5/10/2018,3176.1376,3155.5331
5/9/2018,3159.1502,3165.3733,3145.6574,3160.1382,3161.4976,-2.3474,-0.0742,122637268,1.53E+11,,,,,5/11/2018,3180.7564,3162.2121
5/8/2018,3161.4976,3169.7014,3134.0621,3135.2957,3136.6448,24.8528,0.7923,146927061,1.89E+11,,,,,5/14/2018,3183.8159,3163.476
5/7/2018,3136.6448,3136.8363,3091.6579,3094.8989,3091.0334,45.6114,1.4756,138948186,1.78E+11,,,,,5/15/2018,3192.8069,3164.5181
5/4/2018,3091.0334,3104.0925,3086.7845,3093.1169,3100.8586,-9.8252,-0.3169,118711265,1.48E+11,,,,,5/16/2018,3191.9481,3166.8113
5/3/2018,3100.8586,3105.6598,3056.1573,3074.5165,3081.1773,19.6813,0.6388,139985620,1.73E+11,,,,,5/17/2018,3172.7664,3148.6213
5/2/2018,3081.1773,3097.6039,3064.763,3087.4086,3082.2316,-1.0543,-0.0342,134184566,1.68E+11,,,,,5/18/2018,3193.4531,3144.776
4/27/2018,3082.2316,3088.0347,3049.9139,3082.4148,3075.0301,7.2015,0.2342,131225643,1.80E+11,,,,,5/21/2018,3219.7398,3203.3362
4/26/2018,3075.0301,3121.9334,3067.9286,3119.4962,3117.9739,-42.9438,-1.3773,133972736,1.64E+11,,,,,5/22/2018,3214.5888,3192.2277
4/25/2018,3117.9739,3122.9082,3107.0008,3112.3978,3128.9271,-10.9532,-0.3501,127311053,1.61E+11,,,,,5/23/2018,3205.437,3168.9642
4/24/2018,3128.9271,3136.0395,3069.7455,3069.7455,3068.012,60.9151,1.9855,162274806,1.96E+11,,,,,5/24/2018,3173.5309,3152.0692
4/23/2018,3068.012,3085.0573,3045.9369,3063.4427,3071.5425,-3.5305,-0.1149,131686340,1.58E+11,,,,,5/25/2018,3156.7261,3131.0675
4/20/2018,3071.5425,3111.1707,3065.9214,3105.4617,3117.376,-45.8335,-1.4703,155147091,1.85E+11,,,,,5/28/2018,3149.6646,3115.9585
4/19/2018,3117.376,3127.4389,3090.2867,3094.2738,3091.3987,25.9773,0.8403,160056805,1.96E+11,,,,,5/29/2018,3143.2076,3112.1531
4/18/2018,3091.3987,3096.889,3041.625,3091.9095,3066.7967,24.602,0.8022,159290503,2.02E+11,,,,,5/30/2018,3085.397,3041.0002
4/17/2018,3066.7967,3118.7596,3064.0281,3112.9747,3110.6489,-43.8522,-1.4097,147222846,1.85E+11,,,,,5/31/2018,3098.0764,3054.2685
4/16/2018,3110.6489,3153.1063,3096.1003,3152.8882,3159.0521,-48.4032,-1.5322,154415695,1.92E+11,,,,,6/1/2018,3102.088,3059.7857
4/13/2018,3159.0521,3197.8959,3155.5058,3192.0418,3180.1583,-21.1062,-0.6637,127552310,1.64E+11,,,,,6/4/2018,3140.103687,3115.911617
4/12/2018,3180.1583,3205.2522,3177.0492,3203.2782,3208.0818,-27.9235,-0.8704,148231313,1.85E+11,,,,,6/5/2018,3127.916172,3103.908246
4/11/2018,3208.0818,3220.8453,3191.5865,3197.3719,3190.3216,17.7602,0.5567,175867197,2.11E+11,,,,,6/6/2018,3116.696236,3092.872453
4/10/2018,3190.3216,3190.6492,3139.0807,3144.2568,3138.2936,52.028,1.6578,168201359,2.06E+11,,,,,6/7/2018,3106.719906,3083.080268
4/9/2018,3138.2936,3146.0926,3110.3025,3125.4415,3131.1114,7.1822,0.2294,139608621,1.77E+11,,,,,6/8/2018,3091.341612,3067.886117
4/4/2018,3131.1114,3163.3404,3128.8668,3147.0491,3136.6332,-5.5218,-0.176,146976682,1.93E+11,,,,,,,
4/3/2018,3136.6332,3144.3321,3119.1321,3130.013,3163.179,-26.5458,-0.8392,152216674,1.90E+11,,,,,,,
4/2/2018,3163.179,3192.3403,3159.986,3169.7787,3168.8966,-5.7176,-0.1804,177727777,2.26E+11,,,,,,,
3/30/2018,3168.8966,3177.7208,3152.8888,3161.7856,3160.5306,8.366,0.2647,154646596,1.96E+11,,,,,,,
3/29/2018,3160.5306,3174.5089,3098.2465,3127.2628,3122.2895,38.2411,1.2248,170312384,2.11E+11,,,,,,,
3/28/2018,3122.2895,3165.2126,3117.5336,3130.5711,3166.6488,-44.3593,-1.4008,163500488,2.09E+11,,,,,,,
3/27/2018,3166.6488,3172.7777,3143.5695,3164.7976,3133.7218,32.927,1.0507,189073383,2.27E+11,,,,,,,
3/26/2018,3133.7218,3134.2759,3091.4575,3117.3192,3152.7608,-19.039,-0.6039,186366350,2.16E+11,,,,,,,
3/23/2018,3152.7608,3188.2351,3110.6637,3172.772,3263.4803,-110.7195,-3.3927,275532013,2.93E+11,,,,,,,
3/22/2018,3263.4803,3288.7967,3242.7619,3281.265,3280.9521,-17.4718,-0.5325,150432977,1.84E+11,,,,,,,
3/21/2018,3280.9521,3314.209,3268.8779,3299.731,3290.6399,-9.6878,-0.2944,168398277,2.09E+11,,,,,,,
3/20/2018,3290.6399,3292.5742,3252.4333,3257.2188,3279.2517,11.3882,0.3473,139881081,1.67E+11,,,,,,,
3/19/2018,3279.2517,3280.5673,3251.0471,3264.9281,3269.8821,9.3696,0.2865,137954980,1.70E+11,,,,,,,
3/16/2018,3269.8821,3300.5654,3269.2826,3290.209,3291.112,-21.2299,-0.6451,141203647,1.68E+11,,,,,,,
3/15/2018,3291.112,3297.0981,3273.2008,3277.5143,3291.3819,-0.2699,-0.0082,148573606,1.80E+11,,,,,,,
3/14/2018,3291.3819,3304.9787,3287.3558,3298.6655,3310.2389,-18.857,-0.5697,157491085,1.83E+11,,,,,,,
3/13/2018,3310.2389,3333.8754,3307.3764,3324.1215,3326.6992,-16.4603,-0.4948,177114353,2.02E+11,,,,,,,
3/12/2018,3326.6992,3333.5611,3313.5552,3319.2089,3307.1656,19.5336,0.5906,206532436,2.48E+11,,,,,,,
3/9/2018,3307.1656,3309.7153,3283.5591,3291.4258,3288.4055,18.7601,0.5705,168424509,2.02E+11,,,,,,,
3/8/2018,3288.4055,3289.4974,3261.5524,3268.3468,3271.6683,16.7372,0.5116,149827519,1.76E+11,,,,,,,
3/7/2018,3271.6683,3308.4063,3264.7639,3288.8645,3289.6419,-17.9736,-0.5464,168665019,1.93E+11,,,,,,,
3/6/2018,3289.6419,3290.2534,3243.654,3266.4868,3256.9263,32.7156,1.0045,195358046,2.24E+11,,,,,,,
3/5/2018,3256.9263,3269.3999,3236.7172,3255.8713,3254.5283,2.398,0.0737,144835988,1.74E+11,,,,,,,
3/2/2018,3254.5283,3269.9377,3242.2669,3248.4464,3273.7549,-19.2266,-0.5873,150861063,1.79E+11,,,,,,,
3/1/2018,3273.7549,3280.1491,3228.5848,3235.0887,3259.408,14.3469,0.4402,159098320,1.85E+11,,,,,,,
2/28/2018,3259.408,3277.8324,3239.8438,3264.0585,3292.0679,-32.6599,-0.9921,151043536,1.80E+11,,,,,,,
2/27/2018,3292.0679,3328.6719,3284.6293,3328.6719,3329.5737,-37.5058,-1.1264,174219368,2.04E+11,,,,,,,
2/26/2018,3329.5737,3335.9856,3281.615,3307.295,3289.0241,40.5496,1.2329,188568602,2.13E+11,,,,,,,
2/23/2018,3289.0241,3294.1338,3258.4878,3275.429,3268.5589,20.4652,0.6261,145790368,1.60E+11,,,,,,,
2/22/2018,3268.5589,3269.9156,3234.1152,3237.5692,3199.1589,69.4,2.1693,138730445,1.57E+11,,,,,,,
2/14/2018,3199.1589,3203.4967,3171.3836,3188.2475,3184.9587,14.2002,0.4459,100322827,1.15E+11,,,,,,,
2/13/2018,3184.9587,3219.2169,3176.1066,3176.1066,3154.1254,30.8333,0.9776,151527597,1.72E+11,,,,,,,
